i,z,p,t,h2o,o3,co2,co,ch4,n2o,o2,nh3,no,no2,so2
1.0,0.0,1013.0,299.7,0.0,0.0,1000.0,0.0,0.0,0.0,209000.0,0.0,0.0,0.0,0.0
2.0,1.0,904.0,293.7,0.0,0.0,1000.0,0.0,0.0,0.0,209000.0,0.0,0.0,0.0,0.0
3.0,2.0,805.0,287.7,0.0,0.0,1000.0,0.0,0.0,0.0,209000.0,0.0,0.0,0.0,0.0
4.0,3.0,715.0,283.7,0.0,0.0,1000.0,0.0,0.0,0.0,209000.0,0.0,0.0,0.0,0.0
5.0,4.0,633.0,277.0,0.0,0.0,1000.0,0.0,0.0,0.0,209000.0,0.0,0.0,0.0,0.0
6.0,5.0,559.0,270.3,0.0,0.0,1000.0,0.0,0.0,0.0,209000.0,0.0,0.0,0.0,0.0
7.0,6.0,492.0,263.6,0.0,0.0,1000.0,0.0,0.0,0.0,209000.0,0.0,0.0,0.0,0.0
8.0,7.0,432.0,257.0,0.0,0.0,1000.0,0.0,0.0,0.0,209000.0,0.0,0.0,0.0,0.0
9.0,8.0,378.0,250.3,0.0,0.0,1000.0,0.0,0.0,0.0,209000.0,0.0,0.0,0.0,0.0
10.0,9.0,329.0,243.6,0.0,0.0,1000.0,0.0,0.0,0.0,209000.0,0.0,0.0,0.0,0.0
11.0,10.0,286.0,237.0,0.0,0.0,1000.0,0.0,0.0,0.0,209000.0,0.0,0.0,0.0,0.0
12.0,11.0,247.0,230.1,0.0,0.0,1000.0,0.0,0.0,0.0,209000.0,0.0,0.0,0.0,0.0
13.0,12.0,213.0,223.6,0.0,0.0,1000.0,0.0,0.0,0.0,209000.0,0.0,0.0,0.0,0.0
14.0,13.0,182.0,217.0,0.0,0.0,1000.0,0.0,0.0,0.0,209000.0,0.0,0.0,0.0,0.0
15.0,14.0,156.0,210.3,0.0,0.0,1000.0,0.0,0.0,0.0,209000.0,0.0,0.0,0.0,0.0
16.0,15.0,132.0,203.7,0.0,0.0,1000.0,0.0,0.0,0.0,209000.0,0.0,0.0,0.0,0.0
17.0,16.0,111.0,197.0,0.0,0.0,1000.0,0.0,0.0,0.0,209000.0,0.0,0.0,0.0,0.0
18.0,17.0,93.7,194.8,0.0,0.0,1000.0,0.0,0.0,0.0,209000.0,0.0,0.0,0.0,0.0
19.0,18.0,78.9,198.8,0.0,0.0,1000.0,0.0,0.0,0.0,209000.0,0.0,0.0,0.0,0.0
20.0,19.0,66.6,202.7,0.0,0.0,1000.0,0.0,0.0,0.0,209000.0,0.0,0.0,0.0,0.0
21.0,20.0,56.5,206.7,0.0,0.0,1000.0,0.0,0.0,0.0,209000.0,0.0,0.0,0.0,0.0
22.0,21.0,48.0,210.7,0.0,0.0,1000.0,0.0,0.0,0.0,209000.0,0.0,0.0,0.0,0.0
23.0,22.0,40.9,214.6,0.0,0.0,1000.0,0.0,0.0,0.0,209000.0,0.0,0.0,0.0,0.0
24.0,23.0,35.0,217.0,0.0,0.0,1000.0,0.0,0.0,0.0,209000.0,0.0,0.0,0.0,0.0
25.0,24.0,30.0,219.2,0.0,0.0,1000.0,0.0,0.0,0.0,209000.0,0.0,0.0,0.0,0.0
26.0,25.0,25.7,221.4,0.0,0.0,1000.0,0.0,0.0,0.0,209000.0,0.0,0.0,0.0,0.0
27.0,30.0,12.2,232.3,0.0,0.0,1000.0,0.0,0.0,0.0,209000.0,0.0,0.0,0.0,0.0
28.0,35.0,6.0,243.1,0.0,0.0,1000.0,0.0,0.0,0.0,209000.0,0.0,0.0,0.0,0.0
29.0,40.0,3.05,254.0,0.0,0.0,1000.0,0.0,0.0,0.0,209000.0,0.0,0.0,0.0,0.0
30.0,45.0,1.59,264.8,0.0,0.0,1000.0,0.0,0.0,0.0,209000.0,0.0,0.0,0.0,0.0
31.0,50.0,0.854,270.2,0.0,0.0,1000.0,0.0,0.0,0.0,209000.0,0.0,0.0,0.0,0.0
32.0,70.0,0.058,218.9,0.0,0.0,1000.0,0.0,0.0,0.0,209000.0,0.0,0.0,0.0,0.0
33.0,100.0,0.0,190.7,0.0,0.0,591.0,0.0,0.0,0.0,160000.0,0.0,0.0,0.0,0.0
