i,z,p,t,n2,cntmslf,mol_scat,n-1,o3,o2
1.0,0.0,1013.0,299.7,0.7622,0.0,0.9112,0.0002621,0.0,33420.0
2.0,1.0,904.0,293.7,0.6321,0.0,0.8298,0.0002386,0.0,29270.0
3.0,2.0,805.0,287.7,0.5223,0.0,0.7543,0.0002169,0.0,25620.0
4.0,3.0,715.0,283.7,0.4238,0.0,0.6794,0.0001954,0.0,22190.0
5.0,4.0,633.0,277.0,0.3484,0.0,0.616,0.0001772,0.0,19450.0
6.0,5.0,559.0,270.3,0.2853,0.0,0.5575,0.0001603,0.0,17030.0
7.0,6.0,492.0,263.6,0.2324,0.0,0.5032,0.0001447,0.0,14900.0
8.0,7.0,432.0,257.0,0.1885,0.0,0.4531,0.0001303,0.0,13020.0
9.0,8.0,378.0,250.3,0.1522,0.0,0.4071,0.0001171,0.0,11380.0
10.0,9.0,329.0,243.6,0.1217,0.0,0.3641,0.0001047,0.0,9902.0
11.0,10.0,286.0,237.0,0.09716,0.0,0.3253,9.356e-05,0.0,8629.0
12.0,11.0,247.0,230.1,0.07688,0.0,0.2894,8.322e-05,0.0,7496.0
13.0,12.0,213.0,223.6,0.06054,0.0,0.2568,7.386e-05,0.0,6507.0
14.0,13.0,182.0,217.0,0.04693,0.0,0.2261,6.503e-05,0.0,5608.0
15.0,14.0,156.0,210.3,0.03671,0.0,0.2,5.751e-05,0.0,4870.0
16.0,15.0,132.0,203.7,0.02802,0.0,0.1747,5.024e-05,0.0,4178.0
17.0,16.0,111.0,197.0,0.02118,0.0,0.1519,4.368e-05,0.0,3572.0
18.0,17.0,93.7,194.8,0.01544,0.0,0.1297,3.729e-05,0.0,3000.0
19.0,18.0,78.9,198.8,0.01051,0.0,0.107,3.077e-05,0.0,2433.0
20.0,19.0,66.6,202.7,0.007202,0.0,0.08857,2.547e-05,0.0,1986.0
21.0,20.0,56.5,206.7,0.004985,0.0,0.07369,2.119e-05,0.0,1633.0
22.0,21.0,48.0,210.7,0.003463,0.0,0.06141,1.766e-05,0.0,1348.0
23.0,22.0,40.9,214.6,0.002423,0.0,0.05138,1.478e-05,0.0,1119.0
24.0,23.0,35.0,217.0,0.001736,0.0,0.04348,1.25e-05,0.0,940.9
25.0,24.0,30.0,219.2,0.00125,0.0,0.03689,1.061e-05,0.0,794.2
26.0,25.0,25.7,221.4,0.000899,0.0,0.03129,9e-06,0.0,670.5
27.0,30.0,12.2,232.3,0.000184,0.0,0.01416,4.072e-06,0.0,299.2
28.0,35.0,6.0,243.1,4.064e-05,0.0,0.006654,1.914e-06,0.0,139.7
29.0,40.0,3.05,254.0,9.62e-06,0.0,0.003237,9.31e-07,0.0,67.79
30.0,45.0,1.59,264.8,2.405e-06,0.0,0.001619,4.655e-07,0.0,33.85
31.0,50.0,0.854,270.2,6.665e-07,0.0,0.000852,2.45e-07,0.0,17.81
32.0,70.0,0.058,218.9,4.684e-09,0.0,7.143e-05,2.054e-08,0.0,1.492
33.0,100.0,0.0,190.7,1.532e-13,0.0,4.085e-07,1.175e-10,0.0,0.006532
